Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_268_732,VDD,Metal1,430.6400,1078.0000,2.989084
FILLER_268_723,VDD,Metal1,425.3200,1078.0000,2.989084
FILLER_268_721,VDD,Metal1,424.4800,1078.0000,2.989084
FILLER_268_713,VDD,Metal1,420.0000,1078.0000,2.989084
FILLER_268_700,VDD,Metal1,414.9065,1077.4230,2.989107
FILLER_268_692,VDD,Metal1,408.2400,1078.0000,2.989120
FILLER_268_684,VDD,Metal1,403.7600,1078.0000,2.989121
FILLER_268_676,VDD,Metal1,399.2800,1078.0000,2.989121
FILLER_268_669,VDD,Metal1,395.0800,1078.0000,2.989121
FILLER_268_667,VDD,Metal1,394.2400,1078.0000,2.989121
FILLER_268_664,VDD,Metal1,392.2800,1078.0000,2.989121
FILLER_268_657,VDD,Metal1,388.6400,1078.0000,2.989136
FILLER_268_653,VDD,Metal1,387.3400,1077.5675,2.989136
FILLER_268_645,VDD,Metal1,384.1065,1077.4230,2.989136
FILLER_268_629,VDD,Metal1,377.4880,1077.3080,2.989138
FILLER_268_597,VDD,Metal1,364.1155,1077.2310,2.989141
FILLER_268_591,VDD,Metal1,352.6200,1077.5675,2.989141
FILLER_268_527,VDD,Metal1,333.9150,1077.1855,2.989141
FILLER_268_521,VDD,Metal1,313.4200,1077.5675,2.989142
FILLER_268_457,VDD,Metal1,294.7150,1077.1855,2.989142
FILLER_268_451,VDD,Metal1,274.2200,1077.5675,2.989142
FILLER_268_387,VDD,Metal1,255.5150,1077.1855,2.989142
FILLER_268_381,VDD,Metal1,235.0200,1077.5675,2.989142
FILLER_268_317,VDD,Metal1,216.3150,1077.1855,2.989142
FILLER_268_311,VDD,Metal1,195.8200,1077.5675,2.989143
FILLER_268_247,VDD,Metal1,177.1150,1077.1855,2.989143
FILLER_268_241,VDD,Metal1,156.6200,1077.5675,2.989143
FILLER_268_177,VDD,Metal1,137.9150,1077.1855,2.989143
FILLER_268_171,VDD,Metal1,117.4200,1077.5675,2.989143
FILLER_268_107,VDD,Metal1,98.7150,1077.1855,2.989143
FILLER_268_101,VDD,Metal1,78.2200,1077.5675,2.989143
FILLER_268_37,VDD,Metal1,59.5150,1077.1855,2.989143
FILLER_268_34,VDD,Metal1,39.4800,1078.0000,2.989143
FILLER_268_2,VDD,Metal1,30.9155,1077.2310,2.989143
FILLER_267_1892,VDD,Metal1,1084.7680,1070.8520,2.988949
FILLER_267_1886,VDD,Metal1,1077.8200,1070.5925,2.988949
FILLER_267_1822,VDD,Metal1,1059.1150,1070.9740,2.988949
FILLER_267_1816,VDD,Metal1,1038.6200,1070.5925,2.988949
FILLER_267_1752,VDD,Metal1,1019.9150,1070.9740,2.988949
FILLER_267_1746,VDD,Metal1,999.4200,1070.5925,2.988949
FILLER_267_1682,VDD,Metal1,980.7150,1070.9740,2.988949
FILLER_267_1676,VDD,Metal1,960.2200,1070.5925,2.988949
FILLER_267_1612,VDD,Metal1,941.5150,1070.9740,2.988949
FILLER_267_1606,VDD,Metal1,921.0200,1070.5925,2.988949
FILLER_267_1542,VDD,Metal1,902.3150,1070.9740,2.988949
FILLER_267_1536,VDD,Metal1,881.8200,1070.5925,2.988949
FILLER_267_1472,VDD,Metal1,863.1150,1070.9740,2.988949
FILLER_267_1466,VDD,Metal1,842.6200,1070.5925,2.988949
FILLER_267_1402,VDD,Metal1,823.9150,1070.9740,2.988949
FILLER_267_1396,VDD,Metal1,803.4200,1070.5925,2.988949
FILLER_267_1332,VDD,Metal1,784.7150,1070.9740,2.988949
FILLER_267_1326,VDD,Metal1,764.2200,1070.5925,2.988949
FILLER_267_1262,VDD,Metal1,745.5150,1070.9740,2.988949
FILLER_267_1256,VDD,Metal1,725.0200,1070.5925,2.988949
FILLER_267_1192,VDD,Metal1,706.3150,1070.9740,2.988949
FILLER_267_1186,VDD,Metal1,685.8200,1070.5925,2.988949
FILLER_267_1122,VDD,Metal1,667.1150,1070.9740,2.988949
FILLER_267_1116,VDD,Metal1,646.6200,1070.5925,2.988949
FILLER_267_1052,VDD,Metal1,627.9150,1070.9740,2.988949
FILLER_267_1034,VDD,Metal1,604.2880,1070.8520,2.988949
FILLER_267_1002,VDD,Metal1,590.9155,1070.9285,2.988950
FILLER_267_995,VDD,Metal1,577.6400,1070.1600,2.988952
FILLER_267_993,VDD,Metal1,576.8000,1070.1600,2.988952
FILLER_267_989,VDD,Metal1,575.5000,1070.5925,2.988952
FILLER_267_982,VDD,Metal1,570.3600,1070.1600,2.988952
FILLER_267_979,VDD,Metal1,568.6800,1070.1600,2.988952
FILLER_267_944,VDD,Metal1,549.0800,1070.1600,2.988955
FILLER_267_912,VDD,Metal1,540.5155,1070.9285,2.988955
FILLER_267_906,VDD,Metal1,529.0200,1070.5925,2.988985
FILLER_267_892,VDD,Metal1,522.4265,1070.7365,2.988985
FILLER_267_881,VDD,Metal1,514.0800,1070.1600,2.988985
FILLER_267_874,VDD,Metal1,509.8800,1070.1600,2.988989
FILLER_267_872,VDD,Metal1,509.0400,1070.1600,2.988989
FILLER_267_868,VDD,Metal1,507.7400,1070.5925,2.988989
FILLER_267_861,VDD,Metal1,502.6000,1070.1600,2.988993
FILLER_267_857,VDD,Metal1,501.5800,1070.5925,2.988993
FILLER_267_846,VDD,Metal1,494.4800,1070.1600,2.988993
FILLER_267_842,VDD,Metal1,493.1800,1070.5925,2.988993
FILLER_267_839,VDD,Metal1,490.2800,1070.1600,2.988993
FILLER_267_831,VDD,Metal1,486.0800,1070.1600,2.988998
FILLER_267_824,VDD,Metal1,482.1600,1070.1600,2.989049
FILLER_267_817,VDD,Metal1,478.2400,1070.1600,2.989051
FILLER_267_809,VDD,Metal1,473.7600,1070.1600,2.989061
FILLER_267_774,VDD,Metal1,453.8800,1070.1600,2.989064
FILLER_267_772,VDD,Metal1,453.0400,1070.1600,2.989064
FILLER_267_769,VDD,Metal1,451.0800,1070.1600,2.989069
FILLER_267_765,VDD,Metal1,450.0600,1070.5925,2.989069
FILLER_267_757,VDD,Metal1,446.8265,1070.7365,2.989069
FILLER_267_749,VDD,Metal1,440.1600,1070.1600,2.989080
FILLER_267_714,VDD,Metal1,420.2800,1070.1600,2.989086
FILLER_267_710,VDD,Metal1,419.2600,1070.5925,2.989086
FILLER_267_702,VDD,Metal1,416.0265,1070.7365,2.989088
FILLER_267_699,VDD,Metal1,411.8800,1070.1600,2.989093
FILLER_267_663,VDD,Metal1,392.0000,1070.1600,2.989101
FILLER_267_656,VDD,Metal1,388.0800,1070.1600,2.989105
FILLER_267_648,VDD,Metal1,385.7865,1070.7365,2.989106
FILLER_267_632,VDD,Metal1,379.1680,1070.8520,2.989107
FILLER_267_626,VDD,Metal1,372.2200,1070.5925,2.989112
FILLER_267_562,VDD,Metal1,353.5150,1070.9740,2.989112
FILLER_267_556,VDD,Metal1,333.0200,1070.5925,2.989113
FILLER_267_492,VDD,Metal1,314.3150,1070.9740,2.989113
FILLER_267_486,VDD,Metal1,293.8200,1070.5925,2.989113
FILLER_267_422,VDD,Metal1,275.1150,1070.9740,2.989113
FILLER_267_416,VDD,Metal1,254.6200,1070.5925,2.989113
FILLER_267_352,VDD,Metal1,235.9150,1070.9740,2.989113
FILLER_267_346,VDD,Metal1,215.4200,1070.5925,2.989114
FILLER_267_282,VDD,Metal1,196.7150,1070.9740,2.989114
FILLER_267_276,VDD,Metal1,176.2200,1070.5925,2.989114
FILLER_267_212,VDD,Metal1,157.5150,1070.9740,2.989114
FILLER_267_206,VDD,Metal1,137.0200,1070.5925,2.989114
FILLER_267_142,VDD,Metal1,118.3150,1070.9740,2.989114
FILLER_267_136,VDD,Metal1,97.8200,1070.5925,2.989114
FILLER_267_72,VDD,Metal1,79.1150,1070.9740,2.989115
FILLER_267_66,VDD,Metal1,58.6200,1070.5925,2.989115
FILLER_267_2,VDD,Metal1,39.9150,1070.9740,2.989115
FILLER_266_1907,VDD,Metal1,1088.3600,1070.1600,2.988949
FILLER_266_1905,VDD,Metal1,1087.5200,1070.1600,2.988949
FILLER_266_1889,VDD,Metal1,1083.0880,1069.4680,2.988949
FILLER_266_1857,VDD,Metal1,1069.7155,1069.3910,2.988949
